id;Isolado;Dose;Log10_Dose;Rep;CresMed;Inibicao;Inibicao_perc
1;2;50;;1;3.07;0.96;96.11
2;2;50;;2;3.78;0.95;95.22
3;2;50;;3;4.15;0.95;94.75
4;2;50;;4;2.79;0.96;96.47
5;2;20;;1;2.72;0.97;96.56
6;2;20;;2;3;0.96;96.2
7;2;20;;3;3.33;0.96;95.79
8;2;20;;4;3.37;0.96;95.73
9;2;10;;1;3;0.96;96.21
10;2;10;;2;3.1;0.96;96.08
11;2;10;;3;2.78;0.96;96.48
12;2;10;;4;2.57;0.97;96.75
13;2;7.5;;1;2.06;0.97;97.4
14;2;7.5;;2;2.19;0.97;97.23
15;2;7.5;;3;1.84;0.98;97.67
16;2;7.5;;4;2.92;0.96;96.3
17;2;5;;1;2.86;0.96;96.38
18;2;5;;2;1.57;0.98;98.01
19;2;5;;3;2.01;0.97;97.46
20;2;5;;4;2.27;0.97;97.13
21;2;2.5;;1;2.93;0.96;96.29
22;2;2.5;;2;3.14;0.96;96.03
23;2;2.5;;3;7.97;0.9;89.92
24;2;2.5;;4;7.28;0.91;90.79
25;2;1;;1;10.96;0.86;86.13
26;2;1;;2;7.23;0.91;90.85
27;2;1;;3;6.02;0.92;92.39
28;2;1;;4;15.13;0.81;80.85
29;2;0;;1;79;0;0
30;2;0;;2;79;0;0
31;2;0;;3;79;0;0
32;2;0;;4;79;0;0
33;3;50;;1;2.61;0.97;96.7
34;3;50;;2;2.47;0.97;96.88
35;3;50;;3;2.13;0.97;97.31
36;3;50;;4;1.63;0.98;97.94
37;3;20;;1;2.61;0.97;96.7
38;3;20;;2;2.93;0.96;96.29
39;3;20;;3;2.87;0.96;96.37
40;3;20;;4;2.63;0.97;96.67
41;3;10;;1;4.37;0.94;94.47
42;3;10;;2;3.89;0.95;95.08
43;3;10;;3;2.74;0.97;96.53
44;3;10;;4;2.45;0.97;96.9
45;3;7.5;;1;2.73;0.97;96.54
46;3;7.5;;2;3.61;0.95;95.43
47;3;7.5;;3;3.42;0.96;95.68
48;3;7.5;;4;4.95;0.94;93.74
49;3;5;;1;3.6;0.95;95.44
50;3;5;;2;3.71;0.95;95.3
51;3;5;;3;3.84;0.95;95.14
52;3;5;;4;5.01;0.94;93.66
53;3;2.5;;1;12.29;0.84;84.45
54;3;2.5;;2;7.49;0.91;90.52
55;3;2.5;;3;5.82;0.93;92.63
56;3;2.5;;4;7.67;0.9;90.3
57;3;1;;1;20.48;0.74;74.08
58;3;1;;2;17.64;0.78;77.67
59;3;1;;3;15.82;0.8;79.97
60;3;1;;4;18.78;0.76;76.23
61;3;0;;1;79;0;0
62;3;0;;2;79;0;0
63;3;0;;3;79;0;0
64;3;0;;4;79;0;0
65;4;50;;1;3.56;0.95;95.49
66;4;50;;2;2.74;0.97;96.54
67;4;50;;3;2.51;0.97;96.83
68;4;50;;4;2.63;0.97;96.67
69;4;20;;1;5.73;0.93;92.75
70;4;20;;2;3.1;0.96;96.08
71;4;20;;3;7.34;0.91;90.72
72;4;20;;4;2.68;0.97;96.61
73;4;10;;1;4.06;0.95;94.87
74;4;10;;2;5.55;0.93;92.98
75;4;10;;3;5.59;0.93;92.92
76;4;10;;4;2.63;0.97;96.67
77;4;7.5;;1;4.42;0.94;94.41
78;4;7.5;;2;6.47;0.92;91.81
79;4;7.5;;3;5.56;0.93;92.97
80;4;7.5;;4;6.73;0.91;91.48
81;4;5;;1;3.98;0.95;94.96
82;4;5;;2;4.73;0.94;94.01
83;4;5;;3;4.17;0.95;94.72
84;4;5;;4;5.91;0.93;92.52
85;4;2.5;;1;11.53;0.85;85.41
86;4;2.5;;2;8.61;0.89;89.11
87;4;2.5;;3;15.65;0.8;80.19
88;4;2.5;;4;11.29;0.86;85.72
89;4;1;;1;12.27;0.84;84.47
90;4;1;;2;24.75;0.69;68.68
91;4;1;;3;16.1;0.8;79.63
92;4;1;;4;25.72;0.67;67.45
93;4;0;;1;79;0;0
94;4;0;;2;79;0;0
95;4;0;;3;79;0;0
96;4;0;;4;79;0;0
97;5;50;;1;2.25;0.97;97.02
98;5;50;;2;2.48;0.97;96.72
99;5;50;;3;3.08;0.96;95.92
100;5;50;;4;3.36;0.96;95.54
101;5;20;;1;2.35;0.97;96.89
102;5;20;;2;2.59;0.97;96.56
103;5;20;;3;1.87;0.98;97.53
104;5;20;;4;2.92;0.96;96.13
105;5;10;;1;2.85;0.96;96.22
106;5;10;;2;3.3;0.96;95.63
107;5;10;;3;2.65;0.96;96.48
108;5;10;;4;2.19;0.97;97.1
109;5;7.5;;1;2.16;0.97;97.14
110;5;7.5;;2;2.44;0.97;96.76
111;5;7.5;;3;2.54;0.97;96.63
112;5;7.5;;4;2.68;0.96;96.44
113;5;5;;1;4.14;0.95;94.51
114;5;5;;2;3.4;0.95;95.49
115;5;5;;3;3.37;0.96;95.53
116;5;5;;4;3.45;0.95;95.43
117;5;2.5;;1;7.84;0.9;89.6
118;5;2.5;;2;3.77;0.95;95
119;5;2.5;;3;4.88;0.94;93.53
120;5;2.5;;4;9.84;0.87;86.94
121;5;1;;1;17.31;0.77;77.04
122;5;1;;2;16.71;0.78;77.83
123;5;1;;3;17.61;0.77;76.64
124;5;1;;4;20.77;0.72;72.45
125;5;0;;1;70.57;0.06;6.36
126;5;0;;2;72.86;0.03;3.32
127;5;0;;3;79;-0.05;-4.83
128;5;0;;4;79;-0.05;-4.83
129;6;50;;1;1.22;0.98;98.46
130;6;50;;2;1.63;0.98;97.94
131;6;50;;3;0.88;0.99;98.89
132;6;50;;4;2.33;0.97;97.06
133;6;20;;1;2.1;0.97;97.34
134;6;20;;2;1.7;0.98;97.85
135;6;20;;3;2.07;0.97;97.39
136;6;20;;4;1.47;0.98;98.14
137;6;10;;1;1.22;0.98;98.46
138;6;10;;2;2.18;0.97;97.25
139;6;10;;3;1.84;0.98;97.67
140;6;10;;4;2.76;0.97;96.51
141;6;7.5;;1;1.94;0.98;97.55
142;6;7.5;;2;2.02;0.97;97.44
143;6;7.5;;3;2.19;0.97;97.23
144;6;7.5;;4;2.03;0.97;97.43
145;6;5;;1;1.29;0.98;98.37
146;6;5;;2;1.56;0.98;98.03
147;6;5;;3;1.6;0.98;97.97
148;6;5;;4;2.29;0.97;97.11
149;6;2.5;;1;1.34;0.98;98.3
150;6;2.5;;2;2.03;0.97;97.43
151;6;2.5;;3;1.94;0.98;97.55
152;6;2.5;;4;1.93;0.98;97.56
153;6;1;;1;1.73;0.98;97.81
154;6;1;;2;1.79;0.98;97.73
155;6;1;;3;2.09;0.97;97.36
156;6;1;;4;1.99;0.97;97.48
157;6;0;;1;79;0;0
158;6;0;;2;79;0;0
159;6;0;;3;79;0;0
160;6;0;;4;79;0;0
161;7;50;;1;2.28;0.97;97.12
162;7;50;;2;2.46;0.97;96.89
163;7;50;;3;2.38;0.97;96.99
164;7;50;;4;2.32;0.97;97.06
165;7;20;;1;2.55;0.97;96.77
166;7;20;;2;3.83;0.95;95.15
167;7;20;;3;2.91;0.96;96.32
168;7;20;;4;3.27;0.96;95.86
169;7;10;;1;2.8;0.96;96.46
170;7;10;;2;2.07;0.97;97.39
171;7;10;;3;2.6;0.97;96.71
172;7;10;;4;3.19;0.96;95.97
173;7;7.5;;1;1.93;0.98;97.56
174;7;7.5;;2;2.81;0.96;96.44
175;7;7.5;;3;2.9;0.96;96.34
176;7;7.5;;4;3.13;0.96;96.04
177;7;5;;1;4.43;0.94;94.39
178;7;5;;2;2.81;0.96;96.44
179;7;5;;3;4.37;0.94;94.47
180;7;5;;4;2.56;0.97;96.76
181;7;2.5;;1;11.16;0.86;85.88
182;7;2.5;;2;7;0.91;91.14
183;7;2.5;;3;6.09;0.92;92.3
184;7;2.5;;4;6.93;0.91;91.23
185;7;1;;1;7.88;0.9;90.03
186;7;1;;2;14.1;0.82;82.16
187;7;1;;3;11.08;0.86;85.98
188;7;1;;4;15.91;0.8;79.87
189;7;0;;1;79;0;0
190;7;0;;2;79;0;0
191;7;0;;3;79;0;0
