"","Isolate","Intercept","Coefficient","Log 10 50% inhibition dose (ppm)","Antilog"
"1",1,91.1282917650756,4.25269253133144,-9.67111811212909,2.13246488224418e-10
"2",2,83.0612692854868,10.8383165299839,-3.05040632408399,0.00089041747747018
"3",3,80.2280151713063,11.7333775662596,-2.57624158096043,0.00265312931980485
"4",4,83.6667419696313,10.5505876194645,-3.19098264323405,0.00064419501053166
"5",5,97.5376681944388,0.178135926931213,-266.861766816951,1.37477992896463e-267
"6",6,87.6943407416153,7.12823502298498,-5.28803281879315,5.15189711221708e-06
"7",7,64.1457139607541,25.6544271872458,-0.551394652373557,0.280934675863065
"8",8,92.5494001230308,3.69504441958513,-11.5152607902365,3.05308720908655e-12
"9",9,61.9988327168951,19.9951850829601,-0.600086104085152,0.251138846928992
"10",10,90.504940913828,5.13488966773645,-7.88818135048329,1.29365553054376e-08
"11",11,79.4487419291348,10.5067997805045,-2.80282698293892,0.00157461004292102
"12",12,76.3416162526326,13.0700036251057,-2.01542532107902,0.00965105251796883
"13",13,87.6191868769161,6.86468336235903,-5.48010518346593,3.31050933262204e-06
"14",14,89.5026823435105,4.36434175402457,-9.05123488715869,8.88720325534503e-10
"15",15,86.8620222022175,8.91679516191172,-4.13399899099112,7.34515574676329e-05
"16",16,88.1974305801895,6.50170339768969,-5.87498817521613,1.33355774120718e-06
"17",17,90.2900692253864,5.44493834905014,-7.39954553065141,3.98523989585819e-08
"18",18,92.050461444351,2.83143858316362,-14.8512709032054,1.40840998964044e-15
"19",19,76.6252470778624,13.2683609460917,-2.00667190062425,0.00984754784135672
"20",20,79.8852345259869,12.6555126975853,-2.36144004910121,0.00435070814550958
"21",21,87.8777935858823,5.02228552527561,-7.54194348275403,2.87115419757052e-08
"22",22,91.5590254842344,3.85414137896434,-10.7829530361966,1.64834063040052e-11
"23",23,76.4267769258768,15.3952618429687,-1.71655261179896,0.0192064627452987
"24",24,85.7561186186506,8.29871199570183,-4.30863471791405,4.91320949065061e-05
"25",25,85.8654200821636,7.93951565243276,-4.51733098746068,3.03856836862933e-05
"26",26,84.3452993316177,9.01091150443671,-3.81152331977814,0.000154339354738913
"27",27,78.6997087799164,11.9155862021299,-2.40858555282712,0.00390314285882745
"28",28,87.5254572842778,6.98333884740271,-5.37356959246428,4.23087707622409e-06
