"","Isolado","Dose","mean","sd","var","min","max","n"
"1",2,1,87.555,5.203265000619,27.0739666666667,80.85,92.39,4
"2",2,2.5,93.2575,3.37195665254859,11.3700916666667,89.92,96.29,4
"3",2,5,97.245,0.681395626636981,0.464300000000005,96.38,98.01,4
"4",2,7.5,97.15,0.594922964200691,0.353933333333337,96.3,97.67,4
"5",2,10,96.38,0.297657521322747,0.0886000000000013,96.08,96.75,4
"6",2,20,96.07,0.387728427295874,0.150333333333332,95.73,96.56,4
"7",2,50,95.6375,0.791259544439539,0.626091666666666,94.75,96.47,4
"8",3,1,76.9875,2.4757810215499,6.12949166666667,74.08,79.97,4
"9",3,2.5,89.475,3.5108071246747,12.3257666666666,84.45,92.63,4
"10",3,5,94.885,0.825812730990912,0.681966666666668,93.66,95.44,4
"11",3,7.5,95.3475,1.1723871658572,1.37449166666668,93.74,96.54,4
"12",3,10,95.745,1.15731009961318,1.33936666666667,94.47,96.9,4
"13",3,20,96.5075,0.207906228862916,0.0432249999999992,96.29,96.7,4
"14",3,50,97.2075,0.551324163567436,0.303958333333332,96.7,97.94,4
"15",4,1,75.0575,8.32765423153483,69.3498249999999,67.45,84.47,4
"16",4,2.5,85.1075,3.68186886422281,13.5561583333333,80.19,89.11,4
"17",4,5,94.0525,1.09840414541582,1.20649166666667,92.52,94.96,4
"18",4,7.5,92.6675,1.32580478703817,1.75775833333332,91.48,94.41,4
"19",4,10,94.36,1.78644899171513,3.1914,92.92,96.67,4
"20",4,20,94.04,2.79600906054803,7.81766666666666,90.72,96.61,4
"21",4,50,96.3825,0.606705584832273,0.36809166666667,95.49,96.83,4
"22",5,1,75.99,2.41123757988852,5.81406666666666,72.45,77.83,4
"23",5,2.5,91.2675,3.67687707164654,13.519425,86.94,95,4
"24",5,5,95.24,0.488398744197127,0.238533333333331,94.51,95.53,4
"25",5,7.5,96.7425,0.295789902915342,0.0874916666666677,96.44,97.14,4
"26",5,10,96.3575,0.609501162153664,0.371491666666666,95.63,97.1,4
"27",5,20,96.7775,0.590331827590779,0.348491666666669,96.13,97.53,4
"28",5,50,96.3,0.68721660825875,0.472266666666661,95.54,97.02,4
"29",6,1,97.595,0.210475651798493,0.0443000000000005,97.36,97.81,4
"30",6,2.5,97.71,0.397743636027024,0.158199999999998,97.43,98.3,4
"31",6,5,97.87,0.536407805063773,0.287733333333335,97.11,98.37,4
"32",6,7.5,97.4125,0.133260396717602,0.0177583333333326,97.23,97.55,4
"33",6,10,97.4725,0.814468129108393,0.663358333333326,96.51,98.46,4
"34",6,20,97.68,0.383057872041983,0.146733333333332,97.34,98.14,4
"35",6,50,98.0875,0.78745899364136,0.620091666666664,97.06,98.89,4
"36",7,1,84.51,4.46032136360898,19.8944666666667,79.87,90.03,4
"37",7,2.5,90.1375,2.88682495716892,8.33375833333334,85.88,92.3,4
"38",7,5,95.515,1.26006613583045,1.58776666666667,94.39,96.76,4
"39",7,7.5,96.595,0.665407143534442,0.442766666666665,96.04,97.56,4
"40",7,10,96.6325,0.591178202124087,0.349491666666668,95.97,97.39,4
"41",7,20,96.025,0.691592365487064,0.478299999999993,95.15,96.77,4
"42",7,50,97.015,0.0988264472024928,0.00976666666666709,96.89,97.12,4
"43",8,1,54.245,13.106310185047,171.775366666667,38.41,67.31,4
"44",8,2.5,67.78,11.3157648143346,128.046533333333,51.39,75.53,4
"45",8,5,95.6975,0.947325181761787,0.897425000000002,94.41,96.53,4
"46",8,7.5,96.2525,0.689510696073673,0.475425000000002,95.28,96.84,4
"47",8,10,96.425,0.346073209981167,0.119766666666669,96.05,96.78,4
"48",8,20,95.43,0.508265022732564,0.258333333333334,94.88,96.08,4
"49",8,50,96.3975,0.129453981527544,0.0167583333333337,96.22,96.53,4
"50",9,1,87.6775,3.92279131061883,15.3882916666666,83.62,92.88,4
"51",9,2.5,97.2125,0.535249163162979,0.286491666666669,96.52,97.73,4
"52",9,5,97.465,1.16012930313823,1.34589999999999,95.73,98.13,4
"53",9,7.5,97.735,0.444859528390706,0.197900000000002,97.22,98.15,4
"54",9,10,96.385,1.31038162380278,1.7171,94.72,97.89,4
"55",9,20,97.5675,0.345096604832133,0.119091666666665,97.17,97.89,4
"56",9,50,95.87,3.03466637375511,9.20920000000002,91.32,97.46,4
"57",10,1,51.8225,9.50314816258276,90.309825,38.04,58.47,4
"58",10,2.5,69.43,14.7089133974381,216.352133333333,57.42,88.68,4
"59",10,5,86.0075,2.76323934299341,7.63549166666668,83.63,90,4
"60",10,7.5,87.915,2.84902907438072,8.11696666666667,83.96,90.66,4
"61",10,10,83.65,2.73387393028038,7.47406666666668,81.13,86.04,4
"62",10,20,87.6275,1.14967749100926,1.32175833333334,85.99,88.68,4
"63",10,50,86.95,2.49877303224336,6.24386666666669,83.82,89.54,4
"64",11,1,89.835,1.82074160714803,3.3151,88.01,91.76,4
"65",11,2.5,90.4275,6.0373966519795,36.4501583333333,81.61,95.27,4
"66",11,5,96.2125,0.905809950633504,0.820491666666672,94.96,97.11,4
"67",11,7.5,96.8275,1.03174205432689,1.06449166666667,95.38,97.78,4
"68",11,10,96.2,0.616279157525227,0.379800000000004,95.33,96.68,4
"69",11,20,96.885,0.358282942193268,0.128366666666664,96.56,97.38,4
"70",11,50,97.8125,0.541133070510386,0.292824999999998,97.14,98.39,4
"71",12,1,76.8925,4.30883878401904,18.5660916666666,72.18,81.16,4
"72",12,2.5,82.5075,3.18513605151596,10.1450916666667,79.87,87.14,4
"73",12,5,87.8425,1.53012799028927,2.34129166666668,85.77,89.09,4
"74",12,7.5,93.4575,0.70556714776129,0.497825000000002,92.41,93.91,4
"75",12,10,91.615,0.610218540087621,0.372366666666668,90.85,92.27,4
"76",12,20,92.18,0.984411837935048,0.969066666666659,90.92,93.32,4
"77",12,50,94.3925,0.872176396531495,0.760691666666664,93.67,95.66,4
"78",13,1,71.6575,12.4368307190109,154.674758333333,53.07,79.35,4
"79",13,2.5,76.4125,9.9684748917107,99.3704916666666,67.78,90.77,4
"80",13,5,94.22,0.761796123207079,0.580333333333335,93.16,94.89,4
"81",13,7.5,93.785,0.471769717835581,0.222566666666663,93.17,94.32,4
"82",13,10,92.0725,0.316372670543244,0.100091666666664,91.68,92.38,4
"83",13,20,91.0375,1.89503517997248,3.59115833333333,89.87,93.87,4
"84",13,50,93.26,0.620161269348546,0.3846,92.48,93.83,4
"85",14,1,84.495,11.4730800863006,131.631566666667,69.82,94.92,4
"86",14,2.5,90.61,5.01039585927765,25.1040666666666,84.34,94.85,4
"87",14,5,93.895,1.62157331009116,2.6295,91.86,95.35,4
"88",14,7.5,96.5925,1.00240959692134,1.00482500000001,95.41,97.65,4
"89",14,10,96.24,0.347275107083705,0.120599999999999,95.91,96.61,4
"90",14,20,96.1025,0.721959140118054,0.521225,95.36,96.78,4
"91",14,50,96.395,0.386479839922683,0.149366666666663,95.87,96.71,4
"92",15,1,86.625,3.88270094994022,15.0753666666667,82.03,91.53,4
"93",15,2.5,91.96,3.06107824140449,9.37020000000001,87.49,94.06,4
"94",15,5,94.89,0.19916492328386,0.0396666666666659,94.68,95.11,4
"95",15,7.5,95.3225,0.521176553578539,0.271625000000004,94.6,95.84,4
"96",15,10,94.5325,0.686895188511321,0.471825000000003,93.82,95.26,4
"97",15,20,93.9275,1.11765752059087,1.24915833333334,92.82,95.44,4
"98",15,50,95.325,0.867659687511947,0.75283333333333,94.43,96.47,4
"99",16,1,85.1825,3.61958906507355,13.101425,81.02,88.39,4
"100",16,2.5,86.5325,6.13078230462203,37.5864916666667,77.61,90.86,4
"101",16,5,97.335,1.74603360028761,3.04863333333333,94.93,98.87,4
"102",16,7.5,97.61,0.577985005572523,0.334066666666669,97.05,98.42,4
"103",16,10,97.88,0.437873649964615,0.191733333333334,97.38,98.44,4
"104",16,20,97.8675,0.857957846672356,0.736091666666666,96.64,98.64,4
"105",16,50,98.8775,0.716815875940255,0.513824999999995,98.14,99.85,4
"106",17,1,87.2575,1.96901625183744,3.87702499999998,84.68,89.21,4
"107",17,2.5,93.965,4.0133817826533,16.1072333333333,88.05,96.58,4
"108",17,5,85.5325,22.42906800709,503.063091666667,51.89,96.88,4
"109",17,7.5,97.0775,0.674802440224796,0.455358333333339,96.1,97.65,4
"110",17,10,97.2525,0.241436672166152,0.0582916666666662,97.07,97.6,4
"111",17,20,97.2975,0.500890873011948,0.250891666666671,96.91,98.01,4
"112",17,50,97.8275,0.290674502952472,0.0844916666666666,97.5,98.17,4
"113",18,1,87.245,3.28492009035227,10.7907,84.17,90.53,4
"114",18,2.5,93.23,4.06470171107303,16.5218,87.2,96,4
"115",18,5,96.01,0.876470193446418,0.768200000000002,95.2,97.23,4
"116",18,7.5,96.91,0.48159457361284,0.231933333333333,96.56,97.61,4
"117",18,10,96.9125,0.143845982448821,0.0206916666666664,96.7,97.01,4
"118",18,20,97.1275,0.471478171993851,0.222291666666663,96.43,97.42,4
"119",18,50,97.1125,0.33220224763438,0.110358333333334,96.74,97.44,4
"120",19,1,91.04,1.79304210770411,3.21500000000001,88.69,93.04,4
"121",19,2.5,93.085,1.07667698653465,1.15923333333333,92.06,94.02,4
"122",19,5,95.3775,0.121209185570511,0.0146916666666667,95.28,95.53,4
"123",19,7.5,95.7625,0.505791459002623,0.255825000000002,95.15,96.29,4
"124",19,10,94.13,0.850685997690487,0.723666666666659,93.45,95.32,4
"125",19,20,95.7275,0.69935088951589,0.489091666666666,94.95,96.56,4
"126",19,50,96.14,0.258069758011279,0.0666,95.91,96.44,4
"127",20,1,70.475,4.72706744892292,22.3451666666667,64.16,75.52,4
"128",20,2.5,81.9375,3.61953380976059,13.101025,78.19,86.89,4
"129",20,5,91.73,1.60318433126075,2.57019999999999,89.34,92.69,4
"130",20,7.5,91.78,1.06505085950547,1.13433333333333,90.59,92.87,4
"131",20,10,92.695,1.42080962834576,2.01870000000001,90.63,93.88,4
